DeviceID,BatteryWear,SessionQuality,Recommendations,Click,WatchTime,InteractionQuality
2,0.389391,1.278271,0.547228,3.972652,47.118472,275.103695
7,2.579398,1.2112440200000012,0.800365,6.81041,72.918361,421.623585
4,0.720658,1.069325,1.187089,10.40333,106.003849,608.975341
3,0.40287,1.591861,1.360953,11.762168,122.59196,706.216617
1,0.236818,0.805867,2.404591,20.1076,195.154668,1114.278196
1,0.189283,1.430414,1.465625,12.645717,130.262627,748.234846
1,0.157757,0.520583,0.977541,8.076288,79.914435,456.291135
6,1.765257,0.7281662799999999,0.700351,6.02213,61.908867,355.71581
3,0.382356,0.485383,0.797945,6.302754,62.660395,359.238565
4,0.706912,0.89589,0.788927,6.617667,68.464621,394.073935
1,0.124752,0.981666,1.299648,11.240913,113.241089,648.97204
7,2.480914,1.046698,1.108269,8.896364,91.49501,526.634862
5,1.030043,1.025062,0.588923,4.508148,49.44319897999995,288.090485
1,0.231855,0.690029,0.839994,6.960546,70.016985,402.173785
1,0.144757,0.926727,1.420514,11.614373,115.669471,663.125742
1,0.252907,0.549372,1.151039,9.74422,96.31094,550.320628
2,0.309605,1.725111,1.255405,10.163229,108.09474756000003,623.992682
3,0.3858,0.9348226300000004,1.165522,10.291274,103.270005,592.450473
2,0.280568,0.822379,1.916637,15.277222,150.549015,859.736763
2,0.398185,1.734429450000001,1.099018,9.557404,103.19905606000007,597.35096
3,0.463373,0.608415,0.856921,6.755092,67.77814,388.621284
1,0.148806,0.637478,0.693293,4.994344,51.366256,296.129673
2,0.344396,0.645011,1.104998,9.200336,92.037573,526.919858
2,0.361484,0.973217,0.376709,3.002241,36.36014197,211.471299
2,0.392265,1.188453,0.928936,7.210588,76.829561,443.036989
5,1.178586,1.344296,0.920963,6.91618,75.184977,435.605604
1,0.158232,2.797701,0.579385,4.770787,65.24995204000007,386.116335
3,0.404866,0.5577536399999995,0.689833,6.074555,60.981821,348.386193
3,0.450495,1.275699,1.382458,11.625435,118.894445,683.663906
